,baseline,adapted,total,label,baseline accuracy,adapted accuracy
0,18,20,28,African bush elephant,0.6428571428571429,0.7142857142857143
1,24,42,69,American alligator,0.34782608695652173,0.6086956521739131
2,18,18,31,American black bear,0.5806451612903226,0.5806451612903226
3,25,56,100,American bullfrog,0.25,0.56
4,44,84,100,American robin,0.44,0.84
5,7,8,21,Chihuahua,0.3333333333333333,0.38095238095238093
6,19,21,23,Christmas stocking,0.8260869565217391,0.9130434782608695
7,4,6,13,German Shepherd Dog,0.3076923076923077,0.46153846153846156
8,6,6,19,Golden Retriever,0.3157894736842105,0.3157894736842105
9,26,30,74,Persian cat,0.35135135135135137,0.40540540540540543
10,8,9,35,Rottweiler,0.22857142857142856,0.2571428571428571
11,12,12,12,academic gown,1.0,1.0
12,2,4,5,accordion,0.4,0.8
13,1,2,23,acorn,0.043478260869565216,0.08695652173913043
14,16,18,22,acoustic guitar,0.7272727272727273,0.8181818181818182
15,34,37,70,agama,0.4857142857142857,0.5285714285714286
16,21,19,25,airliner,0.84,0.76
17,3,3,7,ambulance,0.42857142857142855,0.42857142857142855
18,14,24,69,ant,0.2028985507246377,0.34782608695652173
19,1,2,22,apron,0.045454545454545456,0.09090909090909091
20,4,4,24,armadillo,0.16666666666666666,0.16666666666666666
21,3,5,7,baboon,0.42857142857142855,0.7142857142857143
22,12,18,31,balance beam,0.3870967741935484,0.5806451612903226
23,65,76,85,bald eagle,0.7647058823529411,0.8941176470588236
24,8,9,32,balloon,0.25,0.28125
25,14,15,23,banana,0.6086956521739131,0.6521739130434783
26,2,4,10,banjo,0.2,0.4
27,17,16,25,barn,0.68,0.64
28,11,11,12,baseball player,0.9166666666666666,0.9166666666666666
29,41,44,46,basketball,0.8913043478260869,0.9565217391304348
30,0,3,7,beaker,0.0,0.42857142857142855
31,39,46,97,bee,0.4020618556701031,0.4742268041237113
32,6,14,42,bell pepper,0.14285714285714285,0.3333333333333333
33,17,18,22,bikini,0.7727272727272727,0.8181818181818182
34,7,11,23,billiard table,0.30434782608695654,0.4782608695652174
35,13,13,17,bison,0.7647058823529411,0.7647058823529411
36,4,3,25,bow,0.16,0.12
37,6,6,27,bow tie,0.2222222222222222,0.2222222222222222
38,14,35,64,box turtle,0.21875,0.546875
39,3,5,11,breastplate,0.2727272727272727,0.45454545454545453
40,4,7,12,broccoli,0.3333333333333333,0.5833333333333334
41,11,11,35,broom,0.3142857142857143,0.3142857142857143
42,13,15,41,bubble,0.3170731707317073,0.36585365853658536
43,25,34,60,candle,0.4166666666666667,0.5666666666666667
44,8,7,10,canoe,0.8,0.7
45,11,12,15,carbonara,0.7333333333333333,0.8
46,12,12,14,castle,0.8571428571428571,0.8571428571428571
47,7,7,7,cello,1.0,1.0
48,30,40,62,centipede,0.4838709677419355,0.6451612903225806
49,13,11,62,chain,0.20967741935483872,0.1774193548387097
50,18,15,88,chameleon,0.20454545454545456,0.17045454545454544
51,11,12,16,cheeseburger,0.6875,0.75
52,0,0,14,chest,0.0,0.0
53,3,4,12,cliff,0.25,0.3333333333333333
54,1,1,3,clothes iron,0.3333333333333333,0.3333333333333333
55,7,11,66,cockroach,0.10606060606060606,0.16666666666666666
56,8,7,18,corn,0.4444444444444444,0.3888888888888889
57,29,46,60,cottontail rabbit,0.48333333333333334,0.7666666666666667
58,20,24,44,couch,0.45454545454545453,0.5454545454545454
59,10,11,28,cowboy boot,0.35714285714285715,0.39285714285714285
60,4,3,7,cradle,0.5714285714285714,0.42857142857142855
61,25,35,92,crayfish,0.2717391304347826,0.3804347826086957
62,7,10,29,cucumber,0.2413793103448276,0.3448275862068966
63,0,1,6,custard apple,0.0,0.16666666666666666
64,4,3,7,digital clock,0.5714285714285714,0.42857142857142855
65,4,3,15,doormat,0.26666666666666666,0.2
66,21,32,80,dragonfly,0.2625,0.4
67,4,6,15,drumstick,0.26666666666666666,0.4
68,60,48,68,duck,0.8823529411764706,0.7058823529411765
69,6,8,19,dumbbell,0.3157894736842105,0.42105263157894735
70,12,7,36,envelope,0.3333333333333333,0.19444444444444445
71,2,2,8,feather boa,0.25,0.25
72,16,19,27,flagpole,0.5925925925925926,0.7037037037037037
73,42,37,70,flamingo,0.6,0.5285714285714286
74,4,8,100,flatworm,0.04,0.08
75,84,85,99,fly,0.8484848484848485,0.8585858585858586
76,2,2,13,forklift,0.15384615384615385,0.15384615384615385
77,17,16,26,fountain,0.6538461538461539,0.6153846153846154
78,43,69,100,fox squirrel,0.43,0.69
79,8,5,9,garbage truck,0.8888888888888888,0.5555555555555556
80,39,58,81,garter snake,0.48148148148148145,0.7160493827160493
81,10,9,11,go-kart,0.9090909090909091,0.8181818181818182
82,12,14,28,goblet,0.42857142857142855,0.5
83,51,79,100,goldfinch,0.51,0.79
84,12,13,19,golf cart,0.631578947368421,0.6842105263157895
85,44,53,97,goose,0.4536082474226804,0.5463917525773195
86,4,6,81,gossamer-winged butterfly,0.04938271604938271,0.07407407407407407
87,5,6,14,grand piano,0.35714285714285715,0.42857142857142855
88,24,43,100,grasshopper,0.24,0.43
89,0,2,89,great egret,0.0,0.02247191011235955
90,5,13,100,green iguana,0.05,0.13
91,13,15,20,guacamole,0.65,0.75
92,2,5,10,hair dryer,0.2,0.5
93,3,13,67,harvestman,0.04477611940298507,0.19402985074626866
94,5,4,26,hermit crab,0.19230769230769232,0.15384615384615385
95,10,10,14,hockey puck,0.7142857142857143,0.7142857142857143
96,9,8,13,hot dog,0.6923076923076923,0.6153846153846154
97,50,69,98,hummingbird,0.5102040816326531,0.7040816326530612
98,20,21,24,jack-o'-lantern,0.8333333333333334,0.875
99,28,40,59,jay,0.4745762711864407,0.6779661016949152
100,19,20,34,jeep,0.5588235294117647,0.5882352941176471
101,16,39,89,jellyfish,0.1797752808988764,0.43820224719101125
102,11,39,100,junco,0.11,0.39
103,19,20,27,kimono,0.7037037037037037,0.7407407407407407
104,20,17,26,koala,0.7692307692307693,0.6538461538461539
105,48,59,100,ladybug,0.48,0.59
106,0,3,40,leafhopper,0.0,0.075
107,10,9,23,lemon,0.43478260869565216,0.391304347826087
108,11,18,64,lighter,0.171875,0.28125
109,16,19,26,lighthouse,0.6153846153846154,0.7307692307692307
110,4,5,7,limousine,0.5714285714285714,0.7142857142857143
111,24,14,46,lion,0.5217391304347826,0.30434782608695654
112,57,78,96,lorikeet,0.59375,0.8125
113,6,7,98,lynx,0.061224489795918366,0.07142857142857142
114,11,13,32,manhole cover,0.34375,0.40625
115,56,74,100,mantis,0.56,0.74
116,2,3,15,maraca,0.13333333333333333,0.2
117,8,9,19,marimba,0.42105263157894735,0.47368421052631576
118,7,14,23,marmot,0.30434782608695654,0.6086956521739131
119,35,31,47,mask,0.7446808510638298,0.6595744680851063
120,6,7,31,mitten,0.1935483870967742,0.22580645161290322
121,64,72,83,monarch butterfly,0.7710843373493976,0.8674698795180723
122,2,3,57,mongoose,0.03508771929824561,0.05263157894736842
123,11,9,15,mosque,0.7333333333333333,0.6
124,62,60,98,mushroom,0.6326530612244898,0.6122448979591837
125,1,1,8,nail,0.125,0.125
126,37,38,56,newt,0.6607142857142857,0.6785714285714286
127,13,11,20,obelisk,0.65,0.55
128,2,2,8,ocarina,0.25,0.25
129,4,4,12,organ,0.3333333333333333,0.3333333333333333
130,1,3,9,oystercatcher,0.1111111111111111,0.3333333333333333
131,5,4,14,parachute,0.35714285714285715,0.2857142857142857
132,4,4,13,parking meter,0.3076923076923077,0.3076923076923077
133,12,24,54,pelican,0.2222222222222222,0.4444444444444444
134,5,6,13,piggy bank,0.38461538461538464,0.46153846153846156
135,4,13,45,pomegranate,0.08888888888888889,0.28888888888888886
136,6,9,57,porcupine,0.10526315789473684,0.15789473684210525
137,5,5,10,pretzel,0.5,0.5
138,6,6,43,pufferfish,0.13953488372093023,0.13953488372093023
139,9,14,25,pug,0.36,0.56
140,0,0,11,quill,0.0,0.0
141,12,11,25,racket,0.48,0.44
142,3,5,17,rapeseed,0.17647058823529413,0.29411764705882354
143,39,47,68,red fox,0.5735294117647058,0.6911764705882353
144,8,7,13,reel,0.6153846153846154,0.5384615384615384
145,2,0,12,revolver,0.16666666666666666,0.0
146,0,0,24,rhinoceros beetle,0.0,0.0
147,3,2,23,rocking chair,0.13043478260869565,0.08695652173913043
148,6,7,13,rotary dial telephone,0.46153846153846156,0.5384615384615384
149,13,14,17,rugby ball,0.7647058823529411,0.8235294117647058
150,9,8,28,salt shaker,0.32142857142857145,0.2857142857142857
151,19,18,46,sandal,0.41304347826086957,0.391304347826087
